© 2000-2012 Ingenuity Systems, Inc. All rights reserved.

ID	Log Ratio	Transcription Regulator	Predicted Activation State	Regulation z-score	p-value of overlap	Target molecules in dataset	Molecular Type
 	 	PPARA	 	-1.212	5.49E-16	ALDOB,ANXA2,APOA4,APOC2,CCND1,CD63,CPS1,CSAD,CTH,CYP27A1,CYP2C19,Cyp2c40 (includes others),DIO1,FADS1,FADS2,FGF21,GCK,GNMT,GPD2,Gsta4,KHK,LGALS4,MGLL,PKLR,PLIN2,VCAM1	ligand-dependent nuclear receptor
 	 	RORA	 	 	3.45E-08	APOA4,ARSG,CCL4,CYP2C19,Cyp2c70,CYP2F1,CYP3A4,CYP3A43,DDC,NAT8,PLIN2,SLC13A2	ligand-dependent nuclear receptor
 	 	HNF1A	 	-0.699	2.41E-07	Akr1c19,ALDOB,ALS2,BMP2K,CCND1,CYP1A2,CYP27A1,CYP3A43,DDC,DUSP6,ELOVL2,GCK,HAL,HSD17B2,MRPL15 (includes EG:27395),MTHFD1,PKLR	transcription regulator
 	 	NR1I2	 	1.181	3.16E-07	APOC2,CTH,CYP1A2,CYP2C19,Cyp2d9 (includes others),CYP3A4,Gsta4,Gstm6,NAT8,PGD	ligand-dependent nuclear receptor
 	 	RORC	 	 	4.80E-07	APOA4,ARSG,CYP2C19,Cyp2c70,CYP2F1,CYP3A4,CYP3A43,DDC,NAT8,SLC13A2	ligand-dependent nuclear receptor
 	 	HNF4A	 	-1.227	1.21E-06	ACTN1,AGXT2L1,ALDH1L1,ALDOB,ALKBH7,ALS2,APOA4,APOC2,BDH1 (includes EG:100037356),BMP2K,CCND1,CYP1A2,CYP27A1,CYP3A4,CYP3A43,DBP,DBT,DUSP6,F7,Gapdh (includes others),GSTO1,HAL,HBS1L,HSD17B2,INHBE,LGALS3,MREG,MRPL15 (includes EG:27395),MTHFD1,NAT8,PGM3,PKLR,PLSCR1,SCAND1,SHISA5,SLC44A1,STARD7,SUPT5H,USPL1	transcription regulator
 	 	NR3C1	Activated	2.200	1.57E-05	ACTN1,BHLHE40,CCND1,CPS1,CYP27A1,CYP2C19,CYP3A4,DBT,FASTKD5,GNMT,GPX3,MAPK1,MFSD2A,MTHFD1,PLIN2,TNFRSF21,YWHAH	ligand-dependent nuclear receptor
 	 	NR1I3	Activated	2.045	3.47E-05	CYP1A2,CYP27A1,CYP2C19,CYP2F1,CYP3A4,DIO1,Gsta4	ligand-dependent nuclear receptor
 	 	MYC	 	-0.285	3.54E-05	ACTN1,ADK,CCND1,DUSP6,FADS2,Gapdh (includes others),GCK,GJA1,GM2A,GNPAT,GPC1,IMPA2,LDHA,METAP1,MTHFD1,PKLR,THBS2,VCAM1	transcription regulator
 	 	PPARD	 	-1.996	4.57E-05	APOA4,CSAD,GPD2,INHBE,LGALS4,MFSD2A,PKLR,PLIN2	ligand-dependent nuclear receptor
 	 	FOXO1 (includes EG:2308)	 	 	5.26E-05	ALDOB,CCND1,GCK,GPD2,HAL,PKLR,PLSCR1,SPC25 (includes EG:100144563),VCAM1	transcription regulator
 	 	SMARCB1	 	0.865	8.49E-05	CCND1,CENPA,CYP2C19,Cyp2c70,Cyp2d9 (includes others),CYP3A43,Defb1,GJA1	transcription regulator
 	 	FOS	 	-0.826	9.59E-05	AGTR1,ATF3,CCND1,CTH,CYP17A1,Defb1,GJA1,GM2A,HTATIP2,LDHA,LGALS3,LGALS4,NET1 (includes EG:10276),VCAM1	transcription regulator
