Database: Phenopedia in www.hugenavigator.net 
Download time: 11-10-2011
Disease: Insulin Resistance
Number of genes: 1061

Gene Symbol 	 Number of Publications

PPARG	144
ADIPOQ	115
ADRB3	59
TNF	57
IRS1	53
ENPP1	52
APOE	51
ACE	51
FABP2	44
TCF7L2	44
RETN	42
IL6	40
APOC3	29
APOA5	29
LEPR	28
FTO	28
SERPINE1	27
NOS3	26
INS	25
ADRB2	25
PPARGC1A	24
LIPC	22
UCP2	22
LPL	20
MTHFR	20
KCNJ11	19
CETP	19
CAPN10	19
AGT	19
ADIPOR1	19
ADIPOR2	18
INSR	18
PNPLA3	17
CDKAL1	17
MC4R	16
GNB3	15
IRS2	15
UCP3	14
APOB	14
AGTR1	14
SLC30A8	14
APOA1	13
HSD11B1	13
LMNA	13
PON1	13
PPARA	12
PPARD	12
GHRL	12
PTPN1	12
VDR	12
LEP	12
MTNR1B	11
MTTP	11
HHEX	11
NR3C1	11
ABCA1	11
GCK	11
GCKR	11
IGF2BP2	11
CNR1	10
CDKN2B	10
DIO2	10
WFS1	10
HNF1A	10
CCL2	10
RBP4	10
CD36	10
TGFB1	9
UCP1	9
ESR1	9
CRP	9
ADRA2A	9
HFE	9
IDE	9
PCSK1	9
LDLR	9
AR	9
LTA	8
IL10	8
FOXC2	8
VEGFA	8
THADA	8
CDC123	8
SREBF1	7
ABCC8	7
TRIB3	7
FABP4	7
JAZF1	7
CYBA	7
CDKN2A	7
IL18	7
ICAM1	7
IGF1	7
IL1B	7
HNF4A	7
KCNQ1	7
LIPE	6
NOTCH2	6
IGF1R	6
CYP19A1	6
FABP1	6
CYP11B2	6
AGTR2	6
LPIN1	6
ADAMTS9	6
MLXIPL	6
TLR4	6
USF1	6
TSPAN8	6
SHBG	6
SELE	6
ABCG5	5
ABCG8	5
TNFRSF1B	5
INSIG2	5
SCARB1	5
GHR	5
CYP17A1	5
EDN1	5
AHSG	5
ADRB1	5
FGB	5
ESR2	5
AKT2	5
FAAH	5
NAMPT	5
IGF2	5
IGFBP1	5
HTR2C	5
APOA4	5
IL6R	5
NPY	5
NOS2	4
FADS1	4
IL1RN	4
FAS	4
IL1A	4
APOC4	4
HMOX1	4
HMGCR	4
GPX1	4
UTS2	4
F13A1	4
F2	4
GHSR	4
FADS2	4
CLOCK	4
STEAP4	4
CAT	4
PDZK1	4
