Database: Phenopedia in www.hugenavigator.net 
Download time: 11-10-2011
Disease: Obesity
Number of genes: 1345

Gene Symbol 	 Number of Publications

FTO	235
PPARG	182
MC4R	139
ADIPOQ	130
ADRB3	123
LEPR	115
ADRB2	89
LEP	88
APOE	80
UCP2	71
ACE	68
TNF	66
IL6	63
GNB3	58
INSIG2	49
ENPP1	43
TCF7L2	43
UCP3	43
BDNF	37
MTHFR	36
LPL	35
TMEM18	35
GHRL	34
UCP1	34
RETN	33
AGT	32
IRS1	31
SH2B1	29
FABP2	29
CNR1	29
GNPDA2	29
NOS3	29
APOA5	28
MTCH2	28
NR3C1	28
NEGR1	27
CETP	27
SERPINE1	27
KCTD15	26
ESR1	26
MC3R	25
POMC	24
INS	24
PPARGC1A	23
APOC3	22
HTR2C	22
SEC16B	22
APOB	21
DRD2	21
CRP	21
LIPC	21
PPARA	20
FAAH	20
F5	19
ETV5	19
NPY	19
SLC6A4	18
ADRB1	18
IL1B	18
IRS2	18
HSD11B1	17
PLIN	17
PCSK1	16
PNPLA3	16
VDR	16
IGF2	16
F2	16
HTR2A	15
SLC30A8	15
ADIPOR1	15
APOA1	14
HHEX	14
HLA-DQB1	14
FAIM2	13
AGTR1	13
IGF2BP2	13
PPARD	13
PON1	13
LIPE	13
LDLR	13
CDKAL1	12
COMT	12
HLA-DRB1	12
IGF1	12
KCNJ11	12
HLA-DQA1	11
GCKR	11
CDKN2B	11
ABCA1	11
CYP19A1	11
NPY2R	11
MSRA	11
HNF1A	11
TLR4	10
TFAP2B	10
CCL2	10
LTA	10
ADRA2A	10
CDKN2A	10
CAPN10	10
INSR	10
AR	10
IL6R	10
IL10	9
HFE	9
APOA4	9
GHSR	9
GSTM1	9
GAD2	9
LYPLAL1	9
PTPN1	9
VEGFA	9
ADIPOR2	9
CARTPT	9
CLOCK	8
NRXN3	8
TSPAN8	8
SREBF1	8
CTNNBL1	8
PYY	8
ADAMTS9	8
THADA	8
LMNA	8
MTTP	8
NOTCH2	8
BCDIN3D	8
EDN1	8
AGRP	8
AHSG	8
IL18	8
IL1RN	8
APOA2	7
JAZF1	7
FGB	7
MCHR1	7
FABP4	7
DRD4	7
ADRA2B	7
CYP17A1	7
NPC1	7
MTNR1B	7
MAF	7
NPY1R	7
TGFB1	7
WFS1	7
CD36	7
CD14	7
CDC123	7
SOCS3	7
NR0B2	7
STAT3	6
SHBG	6
SLC6A3	6
MAOA	6
ESR2	6
GSTT1	6
GCK	6
FOXC2	6
LPIN1	6
SIRT1	6
IGF1R	6
IL1A	6
IGFBP3	6
IGFBP1	5
IL1R1	5
IL4	5
ITGB3	5
ICAM1	5
GH1	5
GJA4	5
F7	5
F13A1	5
FASN	5
DIO2	5
NAMPT	5
PBEF1	5
LRP5	5
LPA	5
NMB	5
NPY5R	5
OPRM1	5
ACP1	5
PLIN1	5
SIM1	5
SLC2A2	5
ACSM3	5
TCF1	5
TUB	5
STEAP4	5
MKKS	5
PTER	5
SCARB1	4
ABCG2	4
LIPG	4
MCHR2	4
CCKAR	4
CBS	4
USF1	4
SSTR2	4
MTMR9	4
BRCA1	4
TP53	4
TNFRSF1B	4
