Symbol	Articles	Cytogenetic Position
INS	2543	
ADIPOQ	343	
LEP	275	
PPARA	162	
PPARG	148	
TNF	128	
ETV3	102	
CRP	90	
AKT1	84	
HSD11B1	84	
GCG	74	
APOB	72	
IL6	70	
SLC17A5	69	
SREBF1	69	
UBE3A	69	
PRKAA1	63	
INSR	62	
PRKAA2	62	
PRKAB1	62	
IRS1	59	
LPL	54	
LPA	53	
SERPINE1	52	
GGT1	44	
GGT2	44	
GGTLC3	44	
GGTLC4P	44	
GGTLC5P	44	
RETN	44	
XPR1	43	
NFKB1	40	
GCK	38	
G6PC	35	
IGF1	35	
SLC2A4	35	
AGT	34	
FASN	34	
MAPK8	34	
CCL2	32	
SCD	32	
PCK2	31	
REN	31	
NR3C1	30	
PPARGC1A	30	
RBP4	30	
SHBG	30	
APOA1	29	
DPP4	28	
PPARD	28	
FAS	27	
LDLR	27	
APOE	26	
CD36	26	
CNBP	26	
GH1	26	
IGHD1-14	26	
TF	26	
GLP-1	25	
IRS2	25	
FOXO1	24	
GHRL	23	
IL1B	23	
NR1H4	23	
SIRT1	23	
AGTR1	22	
CPT1A	22	
ACACA	20	
CAT	20	
GSR	19	
NAMPT	19	
HMGCR	18	
PIK3CA	18	
PIK3CB	18	
PIK3CD	18	
PIK3CG	18	
PTPN1	18	
UCP2	18	
ADIPOR1	17	
ADIPOR2	17	
CPT2	17	
FABP4	17	
C9ORF3	16	
CHPT1	16	
DBP	16	
LEPR	16	
APOC3	15	
CNR1	15	
CYP11A1	15	
CYP1A2	15	
CYP2A6	15	
FGF21	15	
SOCS3	15	
ABCA1	14	
ACP1	14	
IFNG	14	
MLXIPL	14	
PTK2B	14	
ROS1	14	
CLOCK	13	
HFE	13	
HSD11B2	13	
MTOR	13	
NUCB2	13	
PPIG	13	
TGFB1	13	
EEF1A2	12	
EPCAM	12	
H6PD	12	
HNF4A	12	
PNPLA3	12	
SST	12	
ACACB	11	
AHSG	11	
EGFR	11	
GLP1R	11	
IGFBP1	11	
MAPK3	11	
MGAM	11	
MTTP	11	
SLC2A2	11	
SOD1	11	
TAG	11	
UCP3	11	
ALPP	10	
ASRGL1	10	
ATHS	10	
ATRNL1	10	
CCL27	10	
CETP	10	
CYP2B6	10	
CYP7A1	10	
GK	10	
GOT2	10	
PON1	10	
STAT3	10	
TLR4	10	
GPR3	9	
HNF1A	9	
IL10	9	
MT1B	9	
NOS2	9	
POMC	9	
SREBF2	9	
STK11	9	
ANK1	8	
ARNTL	8	
BCL2	8	
CYP2E1	8	
CYP3A4	8	
FLII	8	
GTF3A	8	
HES1	8	
HGF	8	
KRT1	8	
LIPC	8	
RARRES2	8	
SERPINA12	8	
UCP1	8	
ACE	7	
ANGPTL4	7	
CD14	7	
CEBPA	7	
DDIT3	7	
FABP1	7	
HMGCL	7	
HNF1B	7	
IGFBP3	7	
IL18	7	
MAPK1	7	
NOS3	7	
PTGS2	7	
RAPGEF5	7	
ABCG1	6	
ALMS1	6	
APLN	6	
BAX	6	
CALB2	6	
CD34	6	
CD55	6	
CFD	6	
CYP3A	6	
DYT10	6	
FANCA	6	
GIP	6	
GSK3B	6	
HIF1A	6	
HP	6	
IL4	6	
IL8	6	
JAK2	6	
MC4R	6	
NPC1L1	6	
NR5A2	6	
PLIN1	6	
RPS27A	6	
SLC22A1	6	
SLC5A2	6	
SOCS1	6	
VEGFA	6	
XBP1	6	
ABCG5	5	
ABCG8	5	
AKT2	5	
APC	5	
APOA2	5	
AQP9	5	
CASP3	5	
CCR2	5	
CNR2	5	
CPEB1	5	
DGAT1	5	
DM1	5	
EPHB2	5	
ESR1	5	
FADS2	5	
FGR	5	
FLNA	5	
