Symbol	Articles	Cytogenetic Position
INS	16868	
ADIPOQ	2063	
ETV3	1865	
LEP	1685	
CRP	1324	
GCG	816	
PPARG	816	
TNF	767	
IL6	632	
REN	584	
APOB	519	
SERPINE1	496	
DPP4	490	
SHBG	481	
GLP-1	475	
HSD11B1	472	
PPARA	448	
CNBP	394	
IGHD1-14	394	
APOA1	349	
AGTR1	343	
LPA	343	
ACE	340	
IGF1	318	
RETN	315	
AGT	314	
INSR	313	
DBP	312	
AKT1	288	
GH1	253	
GHRL	249	
CCL2	223	
IRS1	218	
IFNG	207	
RAPGEF5	196	
SLC2A4	188	
PRKAA1	187	
GLP1R	186	
PRKAA2	185	
PRKAB1	185	
LPL	184	
EEF1A2	183	
EGFR	180	
APOE	172	
NFKB1	163	
NOS3	160	
IAPP	158	
NAMPT	155	
C9ORF3	145	
ICAM1	145	
IL1B	143	
FLNA	134	
FSHMD1A	133	
MGAM	131	
RBP4	130	
CAT	120	
HMGCR	119	
LEPR	118	
FABP4	116	
POMC	115	
SREBF1	113	
SOD1	112	
CD36	110	
EDN1	109	
DM1	108	
PPARD	105	
GCK	101	
PPARGC1A	100	
NR3C1	97	
PON1	93	
MET	92	
PIK3CA	89	
PIK3CB	89	
PIK3CG	89	
PIK3CD	88	
APOC3	87	
NR3C2	87	
TF	86	
CAD	85	
SLC17A5	85	
UBE3A	85	
VCAM1	85	
GIP	84	
CNR1	83	
MAPK8	83	
VEGFA	83	
IL10	79	
PTH	79	
NUCB2	78	
TCF7L2	77	
DMPK	76	
FAS	76	
NOS2	75	
TGFB1	75	
IL8	74	
CETP	73	
SLC2A2	73	
ANK1	72	
MMP9	71	
TAG	71	
GSR	70	
HNF4A	69	
SLC5A2	69	
IL18	67	
SCD	67	
C3	65	
GLUL	65	
ROS1	65	
SLC5A4	63	
TP63	63	
GGT1	62	
GGT2	62	
GGTLC3	62	
GGTLC4P	62	
GGTLC5P	62	
SST	62	
NPY	61	
ACP1	60	
IRS2	60	
PTPN1	60	
LDLR	59	
FASN	58	
PRL	58	
C1QL1	57	
IGFBP1	57	
NOS1	57	
ATP2A2	56	
CD4	56	
ADRB3	55	
APOA5	55	
CD40	55	
MTOR	55	
SIRT1	55	
MTHFR	54	
FOXO1	53	
IGFBP3	53	
PTGS2	53	
TLR4	53	
DSPP	52	
UCP2	52	
AKR1C2	51	
EEF1B2P2	51	
HNF1A	51	
PRH1	51	
HT	50	
MAPK1	50	
MAPK3	50	
ESR1	49	
RARRES2	49	
G6PC	48	
NR1H4	48	
ADIPOR1	47	
CYP1A2	47	
UCP1	47	
CYP11A1	46	
AMY2A	45	
CAPN10	45	
CLOCK	45	
AR	44	
BDNF	44	
CYP2A6	44	
HMOX1	43	
XPR1	43	
HSD11B2	42	
PTK2B	42	
ADIPOR2	41	
FGF21	41	
KCNJ11	41	
LOC100131164	41	
AGER	40	
CD55	40	
GSTP1	40	
MMP2	40	
SLC2A1	40	
CST3	39	
FANCA	39	
PCK2	39	
CALCA	38	
HP	38	
MC4R	38	
PYY	38	
SERPINA12	38	
ADRB2	37	
APP	37	
GTF3A	37	
ACACA	36	
APLN	36	
DYT10	36	
PLA2G7	36	
ABCA1	35	
APOA2	35	
CYP3A4	35	
ENPP1	35	
EPO	35	
ID1	35	
NLRP3	35	
PDX1	35	
ARG1	34	
IL4	34	
MAPT	34	
CPT1A	33	
HBA1	33	
HNF1B	33	
MPO	33	
NPPA	32	
TP53	32	
UCP3	32	
EPHB2	31	
PPA1	31	
PPIG	31	
SI	31	
IGF2	30	
IL1RN	30	
LMNA	30	
MGEA5	30	
RNF130	30	
RPS27A	30	
XDH	30	
ABCC8	29	
ACR	29	
CCK	29	
EHMT1	29	
ITLN1	29	
PLAT	29	
TNFRSF11B	29	
AHSG	28	
AKR1B1	28	
ALB	28	
CALB2	28	
CD34	28	
CEBPA	28	
CYP19A1	28	
DHX40	28	
GOT2	28	
IGF2BP2	28	
M1	28	
NR0B1	28	
STAT3	28	
TG	28	
FOS	27	
ISYNA1	27	
RENBP	27	
SUGP1	27	
TNFRSF1B	27	
BCL2	26	
BEST1	26	
CD40LG	26	
CDKAL1	26	
CHPT1	26	
EPHB1	26	
FABP2	26	
HFE	26	
SOCS3	26	
SRGN	26	
ACACB	25	
APC	25	
CCL5	25	
CYP1A1	25	
DIANPH	25	
F2	25	
H6PD	25	
IARS	25	
IL2	25	
TLR2	25	
ANPEP	24	
AZU1	24	
CD14	24	
CDKN2A	24	
CHDH	24	
CPT2	24	
HDLBP	24	
HEBP1	24	
IDE	24	
LCN2	24	
SLBP	24	
STAM2	24	
TIMP1	24	
ADA	23	
AHSA1	23	
AIMP2	23	
EGF	23	
HCA1	23	
KNG1	23	
NEUROD1	23	
PPP1R12A	23	
SOD2	23	
STK11	23	
ADRA1D	22	
BTF3P11	22	
CD74	22	
COG2	22	
CP	22	
FGR	22	
GHSR	22	
VDR	22	
VWF	22	
ALPP	21	
ASRGL1	21	
ATHS	21	
ATRNL1	21	
CCL27	21	
CHUK	21	
COX8A	21	
EPCAM	21	
GAD2	21	
GK	21	
GNAI1	21	
GNRH1	21	
GSK3B	21	
IGF1R	21	
KCNQ1	21	
KLK3	21	
NGF	21	
PDR	21	
PLIN1	21	
PNPLA3	21	
SLC30A8	21	
ADM	20	
BAX	20	
CD68	20	
CFH	20	
CRH	20	
FADS2	20	
GAD1	20	
GPR3	20	
HPGDS	20	
MT1B	20	
NPPB	20	
SCARB1	20	
CAV1	19	
DLL1	19	
FADS1	19	
MBS1	19	
NAG	19	
OAP	19	
PLG	19	
PSMD4	19	
RPS6KB1	19	
TH	19	
TUBB4B	19	
TXNRD2	19	
ADH1A	18	
ADH1B	18	
ADH1C	18	
ADH4	18	
