												Body weight		liver (total)	heart (total)	visceral WAT	gonadal WAT	subcutaneous WAT	WAT (total)	ratio visc/sub WAT	kidneys	kidney (left)	kidney (right)		liver 		venes		urine		plasma												Sensitivity indices				
												(g)		(mg)											triglycerides (mmol/mg liver)		total atherosclerotic lesion area (um2)		glucose (mM)		cholesterol (mM)	triglycerides (mM)	glucose (mM)	insulin (ng/ml)	glucagon (pg/ml)	E-selectin (ng/ml)	VCAM (ug/ml)	MCP-1 (pg/ml)	adiponectin (ug/ml)	sLeptin (ng/ml)	sResistin (ng/ml)		HOMA-IR	QUICKI (=Quantitative insulin sensitivity check index)			
												non-fasted		non-fasted											non-fasted		non-fasted		non-fasted		fasted	fasted	fasted	fasted	non-fasted	fasted	fasted	non-fasted	fasted	non-fasted	non-fasted		HOMA -IR = (fasting plasma glucose x fasting plasma insulin) / 22.5	1/[log I (in uU/ml)+log G (in mg/dl)]			
mouse nr.	group	treatment	species	strain	genotype	gender	Earmark L	Earmark R	cage	No. mice in cage	BeadChipBarcode liver transcriptomics	termination t=16/t=9		termination t=16/t=9											termination t=16/t=9		termination t=16/t=9		t=15/t=9		t=15/t=9	t=15/t=9	t=15/t=9	t=15/t=9	t=16/t=9	t=15/t=9	t=15/t=9	t=16/t=9	t=15/t=9	t=16/t=9	t=16/t=9		glucose in mmol/l en insuline in mU/l	glucose in mg/dl en insulin in mU/l			albumine/creatinine ratio
mouse	group	treatment	species	strain	genotype	gender	Earmark L	Earmark.R	cage	No.mice.in.cage	BeadChipBarcode.liver.transcriptomics	body.weight		liver.total	heart.total	visceral.WAT	gonadal.WAT	subcutaneous.WAT	WAT.total	ratio.visc.sub.WAT	kidneys	kidney.left	kidney.right		liver.triglycerides		venes.total.atherosclerotic.lesion.area		urine.glucose		cholesterol	triglycerides	glucose	insulin	glucagon	E.selectin	VCAM	MCP1	adiponectin	sLeptin	sResistin		HOMA	QUICKI			albumine.creatinine.ratio
315	1	chow	Mus musculus	C57BL6/J	LDLr-/-	male	0	0	46	3	5388876125_A			1488	150	273	350	236	859	1.156779661	400	192	208		0.054864434		4837.131647		0.884244373		6.01	1.265	9.654634947	0.39	138	56	1.81	159.6	5.77	2.788	156		4.781343021	0.304228324			44.66664801
316	1	chow	Mus musculus	C57BL6/J	LDLr-/-	male	1	0	46	3	5511176057_C	28.5		1442	134	250	393	306	949	0.816993464	355	175	180		0.064148148		5488.801208		0.986066452		6.96	1.185	10.85308442	1.24	122	52	1.79	143.2	5.79	3.68	152.4		17.08930118	0.260404506			56.17185097
317	1	chow	Mus musculus	C57BL6/J	LDLr-/-	male	0	1	46	3	5511176060_C	31.5		1540	156	332	515	320	1167	1.0375	417	199	218		0.079147641		38.61668025		0.744908896		6.175	1.185	12	0	91.6	70	1.64	190	7.36	3.728	160.4		0				72.59328081
318	1	chow	Mus musculus	C57BL6/J	LDLr-/-	male	0	0	47	3		30.4		1581	159	194	343	190	727	1.021052632	450	201	249		0.064071856		2790.761551		1.178992497		5.555	0.945	11.1393643	0.79	105.2	74	2.1	516		1.708	152		11.17472736	0.273546024			58.89968218
319	1	chow	Mus musculus	C57BL6/J	LDLr-/-	male	1	0	47	3	5511176069_B	33.1		1729	153	325	547	326	1198	0.996932515	465	235	230		0.096017699		4530.29125		0.846730975		6.09	1.265	12.63068182	1.39	124.4	68	1.99	408	7.47	3.012	149.2		22.29415584	0.252803205			66.473672
320	1	chow	Mus musculus	C57BL6/J	LDLr-/-	male	0	1	47	3	5535688034_B	32.3		1563	177	396	832	377	1605	1.050397878	443	214	229		0.105325444		9194.746685		0.996784566		6.05	1.185	11.93966211	0.3	111.6	79	1.66	359.2	8.36	5.08	132.8		4.548442708	0.306248909			69.72897953
