Symbol	Articles	Cytogenetic Position
INS	595	
LPA	469	
HSD11B1	393	
APOA1	363	
XPR1	345	
APOE	335	
APOB	316	
LDLR	274	
LPL	222	
ABCA1	208	
HMGCR	177	
C9ORF3	167	
PPARA	152	
SCARB1	147	
PPARG	118	
TNF	111	
ADIPOQ	110	
CETP	109	
ABCG1	102	
CD36	102	
CRP	88	
LCAT	83	
ACAT1	81	
HES1	80	
HMGCL	77	
LIPC	77	
IL6	71	
ARG1	66	
LEP	65	
APOA2	60	
SREBF1	59	
NFKB1	58	
EEF1A2	54	
CAT	53	
CCL2	53	
NR1H3	51	
IL1B	50	
PON1	50	
NR1H4	47	
SERPINE1	46	
APOC3	37	
SREBF2	37	
NLRP3	36	
ABCG5	31	
ICAM1	31	
PLTP	31	
SOD1	29	
AGT	28	
LRP1	28	
VCAM1	28	
MTTP	27	
FASN	26	
ABCG8	25	
MT1B	25	
PTGS2	25	
AKT1	24	
CYP27A1	24	
CYP7A1	24	
RETN	24	
TP63	23	
APOA4	22	
INSR	22	
NOS2	22	
REN	22	
SCD	22	
PPARD	21	
SOAT1	21	
ACAT2	20	
FAS	20	
NR0B1	19	
FOS	18	
SLC17A5	18	
VLDLR	18	
ACE	17	
CBS	17	
IL10	17	
PCSK9	17	
TGFB1	17	
UBE3A	17	
GH1	16	
IL8	16	
MMP9	16	
PRKAA1	16	
CD68	15	
ETV3	15	
GSR	15	
HNF4A	15	
MSR1	15	
TAG	15	
TLR4	15	
CYP1A2	14	
FOSB	14	
NOS3	14	
NPC1L1	14	
PRKAA2	14	
PRKAB1	14	
VEGFA	14	
C3	13	
CYP11A1	13	
CYP2A6	13	
GCG	13	
GGT1	13	
GGT2	13	
GGTLC3	13	
GGTLC4P	13	
GGTLC5P	13	
GSTP1	13	
IFNG	13	
ANGPTL3	12	
APOC2	12	
APP	12	
CEL	12	
COX5A	12	
COX8A	12	
CPOX	12	
FABP4	12	
FDFT1	12	
HMGA1	12	
IL4	12	
JPH3	12	
KNG1	12	
NOS1	12	
LIPG	11	
OLR1	11	
SAA1	11	
SAA@	11	
SP1	11	
ABCA4	10	
ALB	10	
CD40	10	
CPT1A	10	
CYP2B6	10	
GTF3A	10	
IGF1	10	
IL2	10	
MAPK1	10	
MAPK3	10	
MAPK8	10	
MPO	10	
NFKBIA	10	
NR1I2	10	
PFDN4	10	
PIK3C2A	10	
SOAT2	10	
TF	10	
CAD	9	
CAV1	9	
ESR1	9	
FH	9	
HMOX1	9	
HPGDS	9	
MTHFR	9	
NPC1	9	
PLG	9	
PPIG	9	
A2M	8	
ADIPOR1	8	
AGER	8	
AHSG	8	
ALPP	8	
APOA5	8	
APOC1	8	
APOM	8	
ASRGL1	8	
ATHS	8	
ATRNL1	8	
C1QL1	8	
CCL27	8	
CDA	8	
CES1	8	
G6PC	8	
G6PD	8	
GHRL	8	
GPT	8	
