Symbol	Articles	Cytogenetic Position
INS	738	11p15.5
ADIPOQ	63	3q27.3
PPARG	53	3p25.2
GCG	52	2q24.2
LEP	45	7q32.1
AKT1	35	14q32.33
PPARA	34	22q13.31
INSR	31	19p13.2
IRS1	29	2q36.3
GCK	28	7p13
CNBP	23	3q21.3
IGHD1-14	23	none
SLC17A5	22	6q13
UBE3A	22	15q11.2
DPP4	20	2q24.2
SLC2A4	18	17p13.1
TNF	18	6p21.33
GLP-1	17	none
IGF1	15	12q23.2
APOB	14	2p24.1
G6PC	14	17q21.31
IL6	14	7p15.3
IRS2	13	13q34
HSD11B1	11	1q32.2
PRKAA1	11	5p13.1
PRKAA2	11	1p32.2
PRKAB1	11	12q24.23
AGT	10	1q42.2
CAT	10	11p13
CRP	10	1q23.2
EPCAM	10	2p21
ETV3	10	1q23.1
FOXO1	10	13q14.11
GLP1R	10	6p21.2
IFNG	10	12q15
LPL	10	8p21.3
RBP4	10	10q23.33
SERPINE1	10	7q22.1
PCK2	9	14q11.2
PPARGC1A	9	4p15.2
RETN	9	19p13.2
SREBF1	9	17p11.2
XPR1	9	1q25.3
APOA1	8	11q23.3
GH1	8	17q23.3
LPA	8	6q25.3-6q26
NAMPT	8	7q22.3
PTPN1	8	20q13.13
SOD1	8	21q22.11
SST	8	3q27.3
ACP1	7	2p25.3
EEF1A2	7	"20q13.33, 6q13"
HNF1B	7	17q12
MGAM	7	7q34
PIK3CA	7	3q26.32
PIK3CB	7	3q22.3
PIK3CD	7	1p36.22
PIK3CG	7	7q22.3
CYP11A1	6	15q24.1
CYP1A2	6	15q24.1
CYP2A6	6	19q13.2
CYP3A4	6	7q22.1
FGF21	6	19q13.33
GGT1	6	22q11.23
GGT2	6	22q11.21
GGTLC3	6	none
GGTLC4P	6	none
GGTLC5P	6	none
HNF1A	6	12q24.31
MAPK8	6	10q11.22
NUCB2	6	11p15.1
SIRT1	6	10q21.3
SLC5A2	6	16p11.2
ABCA1	5	9q31.1
APOE	5	19q13.32
FASN	5	17q25.3
GK	5	"4q32.3, Xp21.2"
GSK3B	5	3q13.33
HNF4A	5	20q13.12
KCNJ11	5	11p15.1
NFKB1	5	4q24
PPIG	5	2q31.1
REN	5	1q32.1
SHBG	5	17p13.1
SLC22A1	5	6q25.3
SLC2A2	5	3q26.2
SLC5A4	5	22q12.3
STAT3	5	17q21.2
ADIPOR2	4	12p13.33
ALMS1	4	2p13.1
C9ORF3	4	9q22.32
CETP	4	16q13
CPT1A	4	11q13.3
CYP3A	4	none
DYT10	4	none
EGFR	4	7p11.2
EPHB2	4	1p36.12
GHRL	4	3p25.3
HMGCR	4	5q13.3
JAK2	4	9p24.1
LCAT	4	16q22.1
LIPC	4	15q21.3
MAPK1	4	22q11.21-22q11.22
POU2F1	4	"1q24.1-1q24.2, 1q24.2"
PPARD	4	6p21.31
PTK2B	4	8p21.2
ROS1	4	6q22.1
TCF7L2	4	"10q25.2-10q25.3, 5q31.1"
ACE	3	17q23.3
ADIPOR1	3	1q32.1
AGTR1	3	3q24
AHSG	3	3q27.3
AKT2	3	19q13.2
CAPN10	3	2q37.3
CHPT1	3	12q23.2
CPT2	3	1p32.3
CYP2B6	3	19q13.2
CYP2C8	3	10q23.33
CYP2C9	3	10q23.33
CYP2E1	3	10q26.3
DM1	3	none
DMPK	3	19q13.32
FAS	3	10q23.31
GCGR	3	17q25.3
GIP	3	17q21.32
GOT2	3	16q21
HES1	3	3q29
HMGCL	3	1p36.11
IAPP	3	12p12.1
IL18	3	11q23.1
IL1B	3	2q13
LEPR	3	1p31.3
MTOR	3	1p36.22
NOS3	3	7q36.1
NR1H4	3	12q23.1
RPS27A	3	2p16.1
SERPINA12	3	14q32.13
SLC2A1	3	1p34.2
SOCS1	3	16p13.13
SOCS3	3	17q25.3
