#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
NCOA1	T0901317	984654	-100447912	ENSP00000320940	T0901317	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
NR1H2	T0901317	977993	-100447912	ENSP00000253727	T0901317	0.000	0.000	0.000	0.000	0.000	0.900	0.800	0.000	0.979
NCOA2	T0901317	996059	-100447912	ENSP00000399968	T0901317	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	0.800
RXRB	T0901317	991048	-100447912	ENSP00000363812	T0901317	0.000	0.000	0.000	0.000	0.000	0.900	0.800	0.000	0.979
NR1I2	T0901317	986459	-100447912	ENSP00000336528	T0901317	0.000	0.000	0.000	0.000	0.000	0.900	0.800	0.000	0.979
RXRB	NR1I2	991048	986459	ENSP00000363812	ENSP00000336528	0.000	0.000	0.000	0.705	0.000	0.620	0.000	0.000	0.619
NCOA2	NCOA1	996059	984654	ENSP00000399968	ENSP00000320940	0.000	0.000	0.000	0.868	0.000	0.579	0.000	0.000	0.579
RXRB	NR1H3	991048	987246	ENSP00000363812	ENSP00000342470	0.000	0.000	0.000	0.770	0.000	0.900	0.000	0.000	0.899
NR1H3	T0901317	987246	-100447912	ENSP00000342470	T0901317	0.000	0.000	0.000	0.000	0.000	0.900	0.800	0.000	0.979
RXRB	NR1H2	991048	977993	ENSP00000363812	ENSP00000253727	0.000	0.000	0.000	0.794	0.000	0.620	0.000	0.000	0.619
NR1H3	NCOA1	987246	984654	ENSP00000342470	ENSP00000320940	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.619
NR1I2	NCOA1	986459	984654	ENSP00000336528	ENSP00000320940	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.619
RXRB	NCOA1	991048	984654	ENSP00000363812	ENSP00000320940	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.619
NR1H3	NR1H2	987246	977993	ENSP00000342470	ENSP00000253727	0.000	0.000	0.000	0.950	0.000	0.000	0.900	0.000	0.899
