Symbol	Articles	Cytogenetic Position
INS	3803	
APOB	517	
ADIPOQ	362	
LPA	359	
LEP	343	
APOA1	300	
CRP	298	
PPARA	296	
EEF1A2	284	
HSD11B1	267	
PPARG	234	
LPL	233	
HMGCR	216	
APOE	215	
TNF	196	
ETV3	190	
REN	189	
IL6	144	
C9ORF3	138	
SERPINE1	129	
ACE	122	
APOC3	104	
LDLR	100	
SHBG	94	
GH1	87	
CETP	72	
DBP	70	
SREBF1	67	
RAPGEF5	65	
CD36	64	
CD4	63	
AGT	62	
AGTR1	60	
PPARD	59	
IGF1	58	
INSR	56	
TP63	55	
GCG	54	
EGFR	48	
AKT1	47	
IL1B	47	
RETN	45	
CAD	43	
CNR1	42	
IRS1	42	
CCL2	41	
ABCA1	40	
ICAM1	40	
PRKAA1	40	
PRKAA2	40	
PRKAB1	40	
XPR1	40	
CAT	39	
ARG1	38	
NOS3	36	
APOA5	35	
DHX40	35	
NR1H4	34	
FASN	33	
NFKB1	33	
SOD1	33	
CNBP	32	
DPP4	32	
GLP-1	32	
IGHD1-14	32	
LCAT	32	
LIPC	31	
MET	30	
PTH	30	
FAS	29	
HES1	29	
EDN1	28	
FLNA	28	
FSHMD1A	28	
HMGCL	28	
HT	28	
PON1	28	
C1QL1	27	
IFNG	27	
SCD	27	
VCAM1	26	
APOA2	25	
C3	25	
NUCB2	25	
VEGFA	25	
LMNA	24	
MT1B	24	
MTTP	24	
GHRL	22	
GLP1R	22	
NLRP3	22	
SCARB1	22	
LEPR	21	
PCSK9	21	
PLA2G7	21	
POMC	21	
COG2	20	
DM1	20	
FABP4	20	
IL8	20	
NOS2	20	
NPY	20	
PRL	20	
SREBF2	20	
TG	20	
GSR	19	
NAMPT	19	
PTGS2	19	
RBP4	19	
SLC2A4	19	
TF	19	
HCAR2	18	
PPARGC1A	18	
ADRB2	17	
APOC2	17	
CHDH	17	
HNF4A	17	
IDDM2	17	
IL10	17	
IL2	17	
PLTP	17	
USF1	17	
ACACA	16	
NR3C2	16	
OLR1	16	
SLC17A5	16	
TAG	16	
ALB	15	
CYP11A1	15	
CYP1A2	15	
CYP2A6	15	
CYP3A4	15	
DMPK	15	
ESR1	15	
FANCA	15	
GGT1	15	
GGT2	15	
GGTLC3	15	
GGTLC4P	15	
GGTLC5P	15	
HCA1	15	
MGAM	15	
NR0B1	15	
PDE5A	15	
PIK3CA	15	
PIK3CB	15	
PIK3CD	15	
PIK3CG	15	
SST	15	
TGFB1	15	
UBE3A	15	
ACAT1	14	
AKR1C2	14	
ATP2A2	14	
CYP7A1	14	
DYT10	14	
FGF21	14	
GCK	14	
GPR3	14	
HP	14	
MMP9	14	
NOS1	14	
PIK3C2A	14	
ABCG1	13	
AZU1	13	
CD55	13	
CYP1A1	13	
EPO	13	
FOXO1	13	
HDLBP	13	
MAPK3	13	
ANK1	12	
CPT1A	12	
EIF2C2	12	
FABP2	12	
HCAR3	12	
HEBP1	12	
IRS2	12	
MAPK1	12	
MTOR	12	
NR3C1	12	
SLBP	12	
STAM2	12	
UCP1	12	
ACP1	11	
AGER	11	
APOA4	11	
AR	11	
CAV1	11	
GTF3A	11	
HLP	11	
MTHFR	11	
THBD	11	
TLR4	11	
ADRA1D	10	
CALCA	10	
CD40	10	
CST3	10	
IARS	10	
LOC100131164	10	
MAPK8	10	
PPIG	10	
PRH1	10	
PSMD4	10	
PTGDR	10	
ROS1	10	
SRL	10	
TRIM26	10	
UCP2	10	
ANGPTL4	9	
ANPEP	9	
C2	9	
DLL1	9	
EPHB2	9	
GOT2	9	
HMGA2	9	
IGFBP1	9	
KNG1	9	
MMP2	9	
