#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
ABCD3	ABCD2	990077	983560	ENSP00000359233	ENSP00000310688	0.000	0.000	0.525	0.905	0.000	0.596	0.000	0.000	0.615
ABCD4	ABCD2	988209	983560	ENSP00000349396	ENSP00000310688	0.000	0.000	0.525	0.815	0.000	0.000	0.900	0.000	0.909
EPHX2	fenofibrate	992228	-100003339	ENSP00000369843	fenofibrate	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
LPL	APOA1	983439	977122	ENSP00000309757	ENSP00000236850	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
CRP	fenofibrate	978101	-100003339	ENSP00000255030	fenofibrate	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
ABCD2	fenofibrate	983560	-100003339	ENSP00000310688	fenofibrate	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
CRAT	fenofibrate	984023	-100003339	ENSP00000315013	fenofibrate	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
PPARA	fenofibrate	979024	-100003339	ENSP00000262735	fenofibrate	0.000	0.000	0.000	0.000	0.000	0.500	0.900	0.000	0.948
ABCD3	fenofibrate	990077	-100003339	ENSP00000359233	fenofibrate	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
LPL	fenofibrate	983439	-100003339	ENSP00000309757	fenofibrate	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
APOA1	fenofibrate	977122	-100003339	ENSP00000236850	fenofibrate	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
SREBF2	fenofibrate	988996	-100003339	ENSP00000354476	fenofibrate	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
ABCD4	fenofibrate	988209	-100003339	ENSP00000349396	fenofibrate	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
